UserJourney,Component,Functionality,1PDevices,1PAccessories
"Connection, Audio Quality"," Bluetooth, WiFi","Pairing, Usability","Pixel 8, Pixel 9, Pixel Fold , Pixel 7, Pixel Tablet, Pixel 8A, Pixel Fold2, Pixel Pro XL, Pixel Pro, Pixel 7A",Pixel Earbuds
"Connection , Syncing"," Bluetooth, WiFi","Pairing, Usability","Pixel 8, Pixel 9, Pixel Fold , Pixel 7, Pixel Tablet, Pixel 8A, Pixel Fold2, Pixel Pro XL, Pixel Pro, Pixel 7A",Pixel Watch
